,Status,Number_of_Properties,Consent,Minor_Variance,Official_Plan_Rezoning,Site_Plan_Application,lat,lon,Council,Average_Income,Secondary_Plan,Business_Improvement_Area,Site_and_Area_Specific_Policy,Zoning_Category
98,Denied,One Property,0,1,0,0,43.71259052727273,-79.41348414545455,North York Community Council,169203,0,0,0,Residential
99,Approved,More Than One Property,1,0,0,0,43.76325894999999,-79.40908518893617,North York Community Council,45326,1,1,0,Commercial Residential
100,Approved,More Than One Property,1,0,0,0,43.682911,-79.589752,Etobicoke York Community Council,31771,0,0,1,Employment Industrial
101,Approved,One Property,0,0,0,1,43.702701,-79.2706365,Scarborough Community Council,36232,0,0,0,Employment Industrial
102,Denied,One Property,0,1,0,0,43.651015,-79.5153033,Etobicoke York Community Council,144642,0,0,0,Residential
103,Approved,One Property,1,1,0,0,43.72188172,-79.41806627999999,North York Community Council,123077,0,0,0,Residential
104,Denied,One Property,1,1,0,0,43.631417,-79.51674291798797,Etobicoke York Community Council,64140,0,0,0,Residential
107,Approved,One Property,0,1,0,0,43.75761894453635,-79.48376040361109,North York Community Council,29958,0,1,0,Employment Industrial
108,Denied,More Than One Property,0,0,1,0,43.62392935,-79.5120853,Etobicoke York Community Council,64140,0,1,0,Commercial Residential
109,Approved,More Than One Property,1,0,0,0,43.763752,-79.408949,North York Community Council,45326,1,1,0,Commercial Residential
110,Denied,One Property,0,1,0,0,43.70570953928571,-79.38586019285714,North York Community Council,85340,1,0,0,Residential
111,Approved,More Than One Property,0,0,0,1,43.66175344444444,-79.37655766666667,Toronto and East York Community Council,53583,0,0,1,Commercial Residential
112,Denied,One Property,1,1,0,0,43.7833189,-79.3913283,North York Community Council,52035,0,0,0,Residential
113,Denied,More Than One Property,0,0,1,0,43.674218,-79.3995879,Toronto and East York Community Council,112766,0,0,0,Commercial Residential
114,Denied,One Property,0,1,0,0,43.66399273846154,-79.3685558076923,Toronto and East York Community Council,58915,0,1,0,Commercial Residential
