,Status,Number_of_Properties,Consent,Minor Variance,Official Plan Rezoning,Site Plan Application,Secondary_Plan,Average_Income,Etobicoke York Community Council,North York Community Council,Scarborough Community Council,Toronto and East York Community Council
204,0,0,0,1,0,0,0,41717,0,0,0,1
205,0,0,0,1,0,0,0,33316,1,0,0,0
206,1,0,0,1,0,0,1,114174,0,0,0,1
207,1,1,1,0,0,0,1,40972,0,0,1,0
208,0,0,0,1,0,0,0,63012,0,0,0,1
209,1,1,0,0,0,1,0,53583,0,0,0,1
210,0,1,0,1,0,0,0,37422,0,0,0,1
211,0,0,0,0,1,0,0,47709,1,0,0,0
212,0,1,0,0,1,0,0,111730,0,1,0,0
213,0,0,0,1,0,0,0,54360,0,0,1,0
214,0,0,0,1,0,0,1,70600,0,0,0,1
215,0,0,0,1,0,0,0,35112,0,0,0,1
216,1,0,0,1,0,0,0,112766,0,0,0,1
217,1,0,1,0,0,0,0,47710,0,0,0,1
218,0,0,0,1,0,0,0,58915,0,0,0,1
219,1,0,0,1,0,0,0,112766,0,0,0,1
220,0,0,0,1,0,0,0,50757,0,0,0,1
221,0,0,0,1,0,0,0,65274,0,0,0,1
222,1,0,0,1,0,0,0,38527,0,1,0,0
223,1,0,0,1,0,0,0,51181,0,1,0,0
224,1,0,0,1,0,0,0,45615,1,0,0,0
225,0,0,0,1,0,0,0,44101,1,0,0,0
226,0,0,0,1,0,0,0,65274,0,0,0,1
227,0,1,0,0,1,0,0,144642,1,0,0,0
228,1,0,0,1,0,0,0,43907,0,0,0,1
229,1,0,1,0,0,0,0,207903,0,0,0,1
230,0,0,0,1,0,0,0,204521,0,0,0,1
231,0,1,0,0,1,0,1,57039,0,0,0,1
232,1,0,1,1,0,0,0,112766,0,0,0,1
233,1,0,0,1,0,0,0,207903,0,0,0,1
234,0,0,0,1,0,0,0,125564,0,1,0,0
235,0,1,0,0,1,0,1,58915,0,0,0,1
237,1,0,1,0,0,0,0,112766,0,0,0,1
238,1,0,1,0,0,0,0,112766,0,0,0,1
239,1,0,1,0,0,0,0,65274,0,0,0,1
240,1,0,1,0,0,0,0,36232,0,0,1,0
241,0,0,0,1,0,0,0,50757,0,0,0,1
242,1,1,0,0,0,1,0,31826,0,0,1,0
243,0,0,0,1,0,0,0,144642,1,0,0,0
244,0,0,0,1,0,0,0,45936,0,1,0,0
245,1,0,0,1,0,0,0,46206,0,0,0,1
246,1,0,1,0,0,0,0,46206,0,0,0,1
247,0,0,0,1,0,0,0,57465,0,0,0,1
248,1,0,1,0,0,0,0,45212,0,1,0,0
249,0,0,1,0,0,0,0,37108,1,0,0,0
250,0,0,0,1,0,0,0,57465,0,0,0,1
251,0,0,0,1,0,0,0,72371,0,1,0,0
252,0,0,0,1,0,0,0,47709,1,0,0,0
253,1,1,1,0,0,0,0,63012,0,0,0,1
254,1,0,0,1,0,0,0,123077,0,1,0,0
255,1,0,0,1,0,0,0,35207,0,0,0,1
256,0,0,0,1,0,0,0,39740,0,0,0,1
257,1,0,1,0,0,0,0,57465,0,0,0,1
258,0,0,0,0,1,0,1,207903,0,0,0,1
259,0,0,0,1,0,0,1,114174,0,0,0,1
260,1,1,1,1,0,0,0,44718,0,0,1,0
261,1,0,1,1,0,0,0,44718,0,0,1,0
262,0,0,0,1,0,0,0,204521,0,0,0,1
263,0,0,1,1,0,0,0,101551,1,0,0,0
264,0,0,0,0,1,0,0,67757,0,1,0,0
265,0,0,1,1,0,0,0,36232,0,0,1,0
266,1,0,1,0,0,0,0,26793,0,0,1,0
267,1,0,1,0,0,0,0,52787,1,0,0,0
268,0,1,0,1,0,0,0,47384,1,0,0,0
269,1,1,0,0,0,1,0,56526,0,0,0,1
270,1,0,1,0,0,0,0,45212,0,1,0,0
271,0,0,0,1,0,0,0,54460,0,0,0,1
272,1,0,1,0,0,0,0,38527,0,1,0,0
273,1,0,0,1,0,0,1,37379,0,1,0,0
274,0,0,0,1,0,0,0,71204,0,0,0,1
277,1,0,0,1,0,0,0,123077,0,1,0,0
278,0,0,0,1,0,0,0,34059,1,0,0,0
279,1,0,0,0,0,1,0,29958,0,1,0,0
280,1,0,1,0,0,0,0,44576,0,1,0,0
281,1,0,0,0,1,0,0,31771,1,0,0,0
282,0,0,1,1,0,0,0,47709,1,0,0,0
284,1,1,1,0,0,0,1,31825,0,0,1,0
285,1,1,1,0,0,0,0,35786,0,1,0,0
286,0,0,0,1,0,0,1,85340,0,1,0,0
287,1,0,1,0,0,0,0,44557,0,0,0,1
288,1,0,0,1,0,0,0,35047,0,0,1,0
289,1,0,0,1,0,0,0,32913,0,0,1,0
290,1,0,0,1,0,0,0,44557,0,0,0,1
291,1,0,0,1,0,0,1,85340,0,1,0,0
292,1,0,0,1,0,0,0,50757,0,0,0,1
293,1,0,0,1,0,0,0,207903,0,0,0,1
294,1,0,0,1,0,0,0,112766,0,0,0,1
295,1,0,1,1,0,0,0,72371,0,1,0,0
296,1,0,0,1,0,0,0,38527,0,1,0,0
297,1,0,1,1,0,0,0,26793,0,0,1,0
298,0,0,0,1,0,0,0,72371,0,1,0,0
299,1,0,0,1,0,0,0,58071,0,0,0,1
300,0,0,0,1,0,0,0,169203,0,1,0,0
301,1,0,0,1,0,0,1,207903,0,0,0,1
302,1,0,0,1,0,0,0,55199,0,0,0,1
303,1,0,0,1,0,0,0,52787,1,0,0,0
304,1,0,0,1,0,0,0,65274,0,0,0,1
306,1,0,0,1,0,0,0,44718,0,0,1,0
307,1,0,0,1,0,0,0,35112,0,0,0,1
308,1,0,0,1,0,0,0,53803,0,0,0,1
309,1,0,0,1,0,0,0,123077,0,1,0,0
310,1,0,1,1,0,0,1,40972,0,0,1,0
311,1,0,0,1,0,0,1,58915,0,0,0,1
312,1,0,1,0,0,0,0,33528,0,0,0,1
313,1,0,0,1,0,0,0,44718,0,0,1,0
314,0,0,0,1,0,0,1,89330,0,1,0,0
315,1,0,0,1,0,0,0,54360,0,0,1,0
316,1,1,1,0,0,0,0,34059,1,0,0,0
317,1,0,0,1,0,0,0,85099,0,1,0,0
318,1,0,0,1,0,0,1,70600,0,0,0,1
319,1,0,0,1,0,0,0,57465,0,0,0,1
320,0,0,0,1,0,0,0,30878,0,0,1,0
321,1,0,0,1,0,0,0,48511,0,0,0,1
322,1,0,0,1,0,0,0,207903,0,0,0,1
323,1,0,0,1,0,0,0,53315,0,0,0,1
324,1,0,0,1,0,0,0,54360,0,0,1,0
325,1,1,1,0,0,0,0,92580,0,0,0,1
326,1,0,0,1,0,0,0,32483,1,0,0,0
327,0,0,1,1,0,0,0,54360,0,0,1,0
328,1,0,1,1,0,0,1,114174,0,0,0,1
329,1,0,1,1,0,0,1,114174,0,0,0,1
330,1,0,1,0,0,0,1,57039,0,0,0,1
331,0,0,0,1,0,0,0,123077,0,1,0,0
332,1,1,1,0,0,0,0,34059,1,0,0,0
333,1,0,0,1,0,0,1,48134,0,1,0,0
334,1,0,1,1,0,0,0,52787,1,0,0,0
335,1,0,1,1,0,0,0,54438,1,0,0,0
336,0,0,0,1,0,0,1,44576,0,1,0,0
337,1,0,0,1,0,0,0,40588,0,0,0,1
338,1,0,1,1,0,0,0,47709,1,0,0,0
339,0,0,0,1,0,0,0,169203,0,1,0,0
340,1,0,1,1,0,0,0,52787,1,0,0,0
341,1,0,1,0,0,0,0,39740,0,0,0,1
342,1,0,1,1,0,0,0,47709,1,0,0,0
343,1,0,0,1,0,0,0,51181,0,1,0,0
344,1,0,0,1,0,0,1,57039,0,0,0,1
345,1,0,0,1,0,0,0,34904,0,1,0,0
346,1,0,0,1,0,0,1,67757,0,1,0,0
347,1,0,0,1,0,0,0,43907,0,0,0,1
348,1,0,0,1,0,0,0,73253,0,0,0,1
349,1,0,0,1,0,0,0,55199,0,0,0,1
350,1,0,0,1,0,0,0,54360,0,0,1,0
351,1,0,0,1,0,0,1,48134,0,1,0,0
352,0,0,0,1,0,0,0,112766,0,0,0,1
353,1,0,0,1,0,0,0,39803,0,0,0,1
354,0,0,0,1,0,0,0,100516,0,1,0,0
355,1,0,0,1,0,0,0,204521,0,0,0,1
356,1,0,0,1,0,0,0,76629,0,0,0,1
357,1,0,0,1,0,0,0,58071,0,0,0,1
358,1,0,0,1,0,0,0,44718,0,0,1,0
359,1,0,0,1,0,0,1,85099,0,1,0,0
360,1,0,1,1,0,0,0,31825,0,0,1,0
361,0,1,0,1,0,0,1,114174,0,0,0,1
362,1,0,1,0,0,0,0,39740,0,0,0,1
363,1,0,1,1,0,0,0,73253,0,0,0,1
364,1,0,0,1,0,0,1,114174,0,0,0,1
365,1,0,1,1,0,0,0,26793,0,0,1,0
366,1,1,1,0,0,0,1,34597,0,0,0,1
367,1,0,0,1,0,0,0,50694,0,0,0,1
368,0,0,0,1,0,0,1,71204,0,0,0,1
369,0,0,1,1,0,0,0,45326,0,1,0,0
370,1,0,0,1,0,0,0,55199,0,0,0,1
371,1,0,0,1,0,0,0,308010,0,1,0,0
372,1,0,1,1,0,0,0,31771,1,0,0,0
373,1,0,0,1,0,0,0,125564,0,1,0,0
374,1,0,0,1,0,0,0,44718,0,0,1,0
375,1,0,0,1,0,0,0,165047,0,0,0,1
376,1,0,0,1,0,0,0,53315,0,0,0,1
377,1,0,0,1,0,0,0,99055,1,0,0,0
378,1,0,0,1,0,0,0,39740,0,0,0,1
379,0,0,0,1,0,0,1,70623,0,0,0,1
380,1,0,1,0,0,0,0,207903,0,0,0,1
381,1,1,1,0,0,0,0,308010,0,1,0,0
382,1,0,0,1,0,0,0,34768,0,1,0,0
383,0,0,0,1,0,0,0,44718,0,0,1,0
384,0,0,0,1,0,0,0,39803,0,0,0,1
385,1,0,0,1,0,0,0,70831,0,0,0,1
386,1,0,0,1,0,0,0,30731,1,0,0,0
387,1,0,0,1,0,0,0,34168,0,1,0,0
388,1,0,0,1,0,0,0,92580,0,0,0,1
389,1,0,1,0,0,0,0,36232,0,0,1,0
390,1,0,0,1,0,0,0,92580,0,0,0,1
391,1,0,0,1,0,0,0,112766,0,0,0,1
392,1,0,0,1,0,0,0,73253,0,0,0,1
393,1,0,0,1,0,0,0,39003,1,0,0,0
394,1,0,1,0,0,0,0,32997,1,0,0,0
395,0,0,0,1,0,0,0,49709,0,0,0,1
396,1,0,0,1,0,0,0,31692,0,0,1,0
397,1,0,0,1,0,0,0,37422,0,0,0,1
398,1,0,0,1,0,0,0,52787,1,0,0,0
399,1,0,0,1,0,0,0,48134,0,1,0,0
400,0,0,0,1,0,0,0,42516,0,1,0,0
401,0,0,0,1,0,0,0,64140,1,0,0,0
402,0,0,0,1,0,0,0,169203,0,1,0,0
403,1,0,0,1,0,0,0,39740,0,0,0,1
404,1,0,0,1,0,0,0,30731,1,0,0,0
405,1,0,0,1,0,0,0,47709,1,0,0,0
406,1,0,0,1,0,0,0,123077,0,1,0,0
407,1,0,0,1,0,0,0,43907,0,0,0,1
408,0,0,0,1,0,0,0,100516,0,1,0,0
409,1,1,0,0,0,1,1,40972,0,0,1,0
410,1,0,0,0,0,1,0,31771,1,0,0,0
411,1,0,1,0,0,0,0,45326,0,1,0,0
412,1,0,1,0,0,0,0,54360,0,0,1,0
413,0,0,0,1,0,0,0,39556,0,0,1,0
414,1,0,1,1,0,0,0,34059,1,0,0,0
415,0,0,0,0,1,0,0,100516,0,1,0,0
416,1,0,0,0,0,1,0,52787,1,0,0,0
417,1,0,1,1,0,0,0,44718,0,0,1,0
418,0,0,0,1,0,0,0,111730,0,1,0,0
419,0,1,0,0,1,0,1,34597,0,0,0,1
421,0,0,0,0,1,0,1,57039,0,1,0,0
422,0,0,0,1,0,0,0,52035,0,1,0,0
423,0,0,0,1,0,0,0,207903,0,0,0,1
424,1,0,1,0,0,0,0,39003,1,0,0,0
425,0,0,0,1,0,0,0,169203,0,1,0,0
426,0,0,0,1,0,0,0,32815,1,0,0,0
427,1,0,1,0,0,0,0,47709,1,0,0,0
428,0,0,0,1,0,0,1,30878,0,0,1,0
429,0,0,0,1,0,0,1,207903,0,0,0,1
430,0,0,0,1,0,0,0,65274,0,0,0,1
431,1,0,0,1,0,0,0,71204,0,0,0,1
432,0,0,0,1,0,0,0,38527,0,1,0,0
433,1,1,1,0,0,0,0,30827,1,0,0,0
434,1,0,1,1,0,0,0,36232,0,0,1,0
435,0,0,1,1,0,0,0,54438,1,0,0,0
436,0,1,0,0,1,1,1,89330,0,1,0,0
437,0,0,0,0,1,0,0,308010,0,1,0,0
438,0,0,0,1,0,0,0,53315,0,0,0,1
439,1,0,0,1,0,0,0,42516,0,1,0,0
440,0,0,1,0,0,0,0,44576,0,1,0,0
441,0,0,0,1,0,0,0,101551,1,0,0,0
442,1,0,0,0,0,1,1,39556,0,0,1,0
443,1,0,1,0,0,0,0,35786,0,1,0,0
444,1,0,1,0,0,0,0,36232,0,0,1,0
445,1,0,0,1,0,0,0,31826,0,0,1,0
446,1,0,1,1,0,0,0,51846,0,0,0,1
447,0,0,0,1,0,0,0,51846,0,0,0,1
449,1,0,1,0,0,0,0,35112,0,0,0,1
450,0,0,1,1,0,0,0,30827,1,0,0,0
451,1,0,0,1,0,0,0,34768,0,1,0,0
452,1,1,1,1,0,0,0,54360,0,0,1,0
453,1,0,1,1,0,0,0,100516,0,1,0,0
454,0,0,0,1,0,0,1,85340,0,1,0,0
455,1,1,0,0,0,1,1,57039,0,1,0,0
456,0,0,0,1,0,0,0,54460,0,0,0,1
456,0,0,0,1,0,0,0,54460,0,0,0,1
457,1,0,0,0,1,0,0,38255,1,0,0,0
458,0,0,0,1,0,0,0,47709,1,0,0,0
459,0,0,0,1,0,0,0,65274,0,0,0,1
460,0,0,0,1,0,0,0,111730,0,1,0,0
461,1,0,1,0,0,0,0,44718,0,0,1,0
462,0,1,0,0,1,1,0,53583,0,0,0,1
463,1,0,0,1,0,0,1,85340,0,1,0,0
464,0,0,1,1,0,0,0,123077,0,1,0,0
465,0,1,0,0,1,0,0,32997,1,0,0,0
467,0,0,0,1,0,0,0,111730,0,1,0,0
468,0,0,0,1,0,0,0,54438,1,0,0,0
469,0,0,0,1,0,0,0,114174,0,0,0,1
470,0,1,0,0,1,1,1,52035,0,1,0,0
471,0,1,0,0,1,1,1,52035,0,1,0,0
472,0,0,0,0,1,1,0,35786,0,1,0,0
473,1,0,0,1,0,0,1,85340,0,1,0,0
474,0,0,0,1,0,0,0,92580,0,0,0,1
475,1,0,0,0,1,0,0,30414,0,0,1,0
476,0,0,0,1,0,0,0,207903,0,0,0,1
477,0,0,0,0,1,0,1,34904,0,1,0,0
478,1,1,1,0,0,0,0,53315,0,0,0,1
479,0,0,0,1,0,0,0,111730,0,1,0,0
480,1,1,1,0,0,0,0,63012,0,0,0,1
481,1,0,1,0,0,0,1,40972,0,0,1,0
482,1,1,0,0,1,0,1,89330,0,1,0,0
483,1,0,0,0,0,1,1,57039,0,0,0,1
484,0,0,1,0,0,0,0,64140,1,0,0,0
485,1,0,0,1,0,0,0,169203,0,1,0,0
486,1,0,0,1,0,0,0,125564,0,1,0,0
487,1,0,0,1,0,0,0,34904,0,1,0,0
488,0,1,0,0,1,0,1,70600,0,0,0,1
489,1,1,0,0,0,1,0,112766,0,0,0,1
489,1,1,0,0,0,1,0,112766,0,0,0,1
490,1,1,0,0,0,1,0,39740,0,0,0,1
491,1,0,1,0,0,0,0,47384,1,0,0,0
492,1,0,1,0,0,0,0,32815,1,0,0,0
493,0,0,0,1,0,0,0,48134,0,1,0,0
494,1,0,0,1,0,0,0,51181,0,1,0,0
496,1,0,1,0,0,0,0,48134,0,1,0,0
